Rank,Company_Name,Company_Website,Company_Type,Company_Location
50,Ames Tile & Stone Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-100-999-employees/#2019-best-100-999-employees/view-sub-list-details30/592fa90af2412f0881d9829c,"Construction, Infrastructure & Real Estate / Housing","New Westminster, British Columbia"
1,Habanero Consulting Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90ef2412f0881d98317,Professional Services,"Vancouver, British Columbia"
2,Plenary Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bb616674239170a654f0a68,Financial Services & Insurance,"Toronto, Ontario"
3,Equium Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b8d66c7fbc3d6409f3c36b7,"Construction, Infrastructure & Real Estate / Property Management","Calgary, Alberta"
4,Simply Green Home Services Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa912f2412f0881d9838d,Retail,"Toronto, Ontario"
5,A Thinking Ape Entertainment Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b871e40157be47d9ec18e19,Information Technology / Software,"Vancouver, British Columbia"
6,Isaac Operations,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/59e8de2c7b71385111d19d58,Professional Services / Consulting – Management,"Toronto, Ontario"
7,Sklar Wilton & Associates,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa912f2412f0881d98391,Professional Services,"Toronto, Ontario"
8,Dun & Bradstreet Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5972414efa3db858ce4d80b8,Financial Services & Insurance / Banking/Credit Services,"Mississauga, Ontario"
9,MobSquad,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bf622c98065ba494a53b6c6,Information Technology,"Calgary, Alberta"
10,Wynford/EventSimple,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa914f2412f0881d983d3,Professional Services,"Toronto, Ontario"
11,SnapTravel,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bbd0f95780e0a54922e1cba,Information Technology / Software,"Toronto, Ontario"
12,AppCentrica Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90af2412f0881d982a0,Information Technology,"Toronto, Ontario"
13,SaskCentral (Credit Union Central of Saskatchewan),https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa911f2412f0881d98385,Financial Services & Insurance / Investments,"Regina, Saskatchewan"
14,Viva Naturals,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5baaa14ad2db9437927026f5,Manufacturing & Production / Personal and Household goods,"Toronto, Ontario"
